#Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
235.00	1.0747	27.921	0.035816	17.481	19.175	89.736	30.241	46.248	223.40	21.077	11.976	0.012736	vapor
236.00	1.1141	28.935	0.034561	17.488	19.183	89.511	30.397	46.684	223.33	20.848	12.034	0.012844	vapor
237.00	1.1545	29.978	0.033358	17.495	19.190	89.288	30.555	47.131	223.26	20.622	12.093	0.012954	vapor
238.00	1.1961	31.052	0.032204	17.502	19.197	89.065	30.715	47.592	223.17	20.401	12.152	0.013067	vapor
239.00	1.2387	32.158	0.031097	17.509	19.204	88.843	30.878	48.067	223.07	20.183	12.212	0.013181	vapor
240.00	1.2825	33.295	0.030034	17.515	19.210	88.622	31.042	48.555	222.96	19.969	12.272	0.013297	vapor
241.00	1.3274	34.466	0.029014	17.520	19.215	88.401	31.209	49.059	222.84	19.759	12.332	0.013416	vapor
242.00	1.3734	35.670	0.028035	17.525	19.220	88.182	31.378	49.579	222.70	19.552	12.393	0.013538	vapor
243.00	1.4206	36.909	0.027094	17.530	19.224	87.962	31.549	50.115	222.56	19.348	12.455	0.013661	vapor
244.00	1.4690	38.184	0.026189	17.534	19.227	87.744	31.723	50.669	222.40	19.148	12.517	0.013788	vapor
245.00	1.5185	39.496	0.025319	17.538	19.230	87.526	31.899	51.242	222.24	18.950	12.579	0.013917	vapor
246.00	1.5693	40.845	0.024483	17.541	19.232	87.308	32.078	51.834	222.06	18.756	12.643	0.014049	vapor
247.00	1.6214	42.234	0.023678	17.544	19.234	87.090	32.261	52.447	221.86	18.564	12.707	0.014184	vapor
