# 2-theta   d         h  k  l  Mult Lp          Scat. Factor    Intensity
 47.33235   0.52070 [ -2, -8,  1]    4   9.88867    1724.0119672229     0.227257
 47.33235   0.52070 [ -2, -8, -1]    4   9.88867    1881.2989949327     0.247990
 47.42520   0.52166 [ -1, -9,  0]    4   9.84481    1575.1744988803     0.206716
 47.80299   0.52557 [  0, -6,  2]    2   9.66914   21792.3206713764     1.404429
 47.80299   0.52557 [  0, -6, -2]    2   9.66914   21523.8981185080     1.387130
 48.10798   0.52873 [  6,  4,  1]    4   9.53052      67.4746500649     0.008572
 48.10798   0.52873 [ -6, -4, -1]    4   9.53052      73.8110660561     0.009377
 48.58345   0.53364 [  7,  3,  0]    4   9.31994   49737.3944762304     6.179238
 48.77078   0.53557 [ -3, -5, -2]    4   9.23877    2126.2084601901     0.261854
 48.77078   0.53557 [ -3, -5,  2]    4   9.23877    2110.8537337883     0.259963
 49.15120   0.53949 [ -5, -1,  2]    4   9.07700     905.6930936494     0.109588
 49.15120   0.53949 [ -5, -1, -2]    4   9.07700     787.5827225516     0.095297
 49.20358   0.54003 [ -5, -7,  0]    4   9.05503    1624.2344181466     0.196055
 49.38244   0.54187 [ -4, -4, -2]    4   8.98061    2681.9547641041     0.321067
 49.38244   0.54187 [  4,  4,  2]    4   8.98061    2663.4979739760     0.318858
 49.43464   0.54241 [ -4, -8,  0]    4   8.95905    8262.7015328436     0.986785
 49.68952   0.54503 [ -2, -6, -2]    4   8.85483     621.7947749843     0.073395
 49.68952   0.54503 [ -2, -6,  2]    4   8.85483     583.6427529872     0.068892
 49.75672   0.54572 [  7,  1,  1]    4   8.82764    5745.8351076636     0.676140
 49.75672   0.54572 [ -7, -1, -1]    4   8.82764    5813.8759063509     0.684147
